Archivaliensignatur,Datierung von(Zahl),Datierung bis(Zahl),Datierung (Text),Klassifikationsgruppe,Aktentitel,Enthält-Vermerk,Umfang der Akte (Blattzahl),Sortierfeld (intern)
F 00124,19370101,19561231,1937 - 1956,13.01 Firmen A,"Alert´s, Eduard, Musikverlage, Berlin",,31 Bl.,"Alert, Eduard"
F 00125,19370101,19481231,1937 - 1948,13.01 Firmen A,"Aletter, Karl, Inhaber der Karl Aletter Buchhandlung, Mannheim",,19 Bl.,"Aletter, Karl"
F 00126,19320101,19321231,"1932, 1937",13.01 Firmen A,"Algemeene Muziekhandel v/h G. H. van Eck & Zoon, Inhaber C. Th. Pauwels, Haag (Niederlande)",,7 Bl.,Algemeene Muziekhandel
F 00127,19370101,19451231,1937 - 1945,13.01 Firmen A,"Alicke, Paul, Wissenschaftliches & Kunstantiquariat, Dresden",,28 Bl.,"Alicke, Paul"
F 00128,19340101,19371231,zwischen 1934/1937,13.01 Firmen A,"Alier, Ildefonso, Musikverlag, Madrid (Spanien)",Enthält nur: Blatt der Botschaft mit Angaben zur Adresse ,2 Bl.,"Alier, Ildefonso"
F 00129,19330101,19431231,1933 - 1943,13.01 Firmen A,"Alinari Soc. An. (I.D.E.A.) Fratelli, Direktor Agostinelli, Rag. P., Istituto di Edizioni Artistiche, Florenz (Italien)",,22 Bl.,Alinari Soc.
F 00130,19360101,19421231,1936 - 1942,13.25 Firmen V,"Völkischer Buch- und Zeitschriftenvertrieb, Inhaber Willy Rohe, später Völkische Buchhandlung, Inhaber Willy Rohe, Koblenz",,28 Bl.,Völkischer Buch- und Zeitschriftenvertrieb
F 00131,19370101,19381231,1937 - 1938,13.01 Firmen A,"All-Verlag, Inhaber Aquilin Backmund, Nürnberg",,14 Bl.,All-Verlag
F 00132,19470101,19481231,"1937, 1947 - 1948",13.01 Firmen A,"Alle, Ernst, Christliche Buchhandlung, Inhaber Ernst Alle, Nagold",,5 Bl.,"Alle, Ernst"
F 00133,19370101,19491231,1937 - 1949,13.01 Firmen A,"Allekotte, Theo, Buchhandlung, Inhaber Theo Allekotte, später Reinhard Willeke, Buch- & Schreibwarenhandlung, Inhaber Reinhard Willeke, Oberhausen",,13 Bl.,"Allekotte, Theo"
F 00134,19360101,19501231,1936 - 1950,13.01 Firmen A,"Allen, George & Unwin Limited, London (Großbritannien)",,44 Bl.,"Allen, George & Unwin"
F 00135,19370101,19481231,1937 - 1948,13.01 Firmen A,"Allendorf'sche Buchhandlung, Inhaber Gustav Otto, später Buchdruckerei Otto GmbH, Abteilung Buchhandlung, Heppenheim",,18 Bl.,"Allendorf, Georg"
F 00136,19370101,19371231,1937,13.01 Firmen A,"Aller´s Etabl. Aktieselskab., Boghandel, Direktoren Aller, Axel, und Aller, Valdemar, Kopenhagen (Dänemark)",Enthält nur: Eintrag im Adressbuch,3 Bl.,"Aller, Carl"
F 00137,19370101,19491231,1937 - 1949,13.01 Firmen A,"Allgäuverlag A. Zumstein-Brack, Grünenbach (Allgäu), später A. & M. Zumstein´s Landkartenhaus Allgäu-Verlag, München",,44 Bl.,Allgäuverlag
F 00138,19370101,19441231,1937 - 1944,13.01 Firmen A,"Allgäuer Druckerei & Verlagsanstalt, Kempten ",,36 Bl.,Allgäuer Buchdruckerei & Verlagsanstalt
F 00139,19370101,19411231,1937 - 1941,13.01 Firmen A,"Allgeist-Verlag Anton Scheuch, Inhaber Anton Scheuch, Stuttgart",,18 Bl.,Allgeist-Verlag 
F 00140,19370101,19431231,1937 - 1943,13.01 Firmen A,"Allgemeine Buchhandlung Herckenrath, vormals Horste, Gent (Belgien)",,11 Bl.,Allgemeine Buchhandlung Herckenrath
F 00141,19370101,19501231,1937 - 1950,13.01 Firmen A,"Allgemeine Deutsche Verlagsgesellschaft mbH, Berlin",,20 Bl.,Allgemeine Deutsche Verlagsgesellschaft
F 00142,19360101,19421231,1936 - 1942,13.01 Firmen A,"Allgemeine Verlagsanstalt München AG, Mannheim",,8 Bl.,Allgemeine Verlagsanstalt München
F 00143,19300101,19801231,1930 - 1980,13.01 Firmen A,"Allgemeiner Buch- und Zeitschriften-Vertrieb Walter Körner, Inhaber Johannes Fröde, Leipzig",,84 Bl.,Allgemeiner Buch- und Zeitschriften-Vertrieb Walter Körner
F 00144,19370101,19491231,1937 - 1949,13.01 Firmen A,"Allgemeiner Industrie-Verlag GmbH, später Allgemeiner Industrieverlag Knorre & Co. KG, Berlin",,30 Bl.,Allgemeiner Industrie-Verlag
F 00145,19300101,19371231,1930 - 1937,13.01 Firmen A,"Allianz-Verlagsgesellschaft mbH, Berlin",,23 Bl.,Allianz-Verlagsgesellschaft
F 00146,19300101,19381231,1930 - 1938,13.01 Firmen A,"Alloway, F. L., Buchhandlung, Rochester (Großbritannien)",,27 Bl.,"Alloway, F. L."
F 00147,19370101,19461231,1937 - 1946,13.01 Firmen A,"Allstaedt, Walter, Buchhandlung, Bremen",,30 Bl.,"Allstaedt, Walter"
F 00148,19300101,19421231,1930 - 1942,13.01 Firmen A,"Alpenland-Buchhandlung Südmark, Graz (Österreich)",,42 Bl.,Alpenland-Buchhandlung
F 00149,19370101,19491231,1937 - 1949,13.01 Firmen A,"Alphonsus-Buchhandlung A. Ostendorff, Münster",,12 Bl.,Alphonsus-Buchhandlung
F 00150,19300101,19381231,1930 - 1938,13.01 Firmen A,"Alrobi Musikverlag GmbH, Berlin",,35 Bl.,Alrobi Musikverlag
F 00151,19340101,19341231,1934,13.01 Firmen A,"Als-Boghandel, Th. Tuglsang, Buch-, Kunst-& Musikalienhandel, Sonderberg (Dänemark)",Enthält nur: Karteiblatt mit Angaben zur Adresse und zur Mitgliedschaft im Börsenverein.,3 Bl.,Als-Boghandel
F 00152,19370101,19431231,1937 - 1943,13.01 Firmen A,"Alsbach & Co., Inhaber Joh. A. Alsbach, Amsterdam (Niederlande)",,17 Bl.,"Alsbach, G."
F 00153,19370101,19371231,1937,13.01 Firmen A,"Alsbach & Doyer, Musikalienhandlung, Amsterdam (Niederlande)",,4 Bl.,"Alsbach, Joh. A. & Henri Doyer"
F 00154,19370101,19571231,1937 - 1957,13.01 Firmen A,"Alster-Verlag, später nur Abteilung der Firma Johannes Kröger, Buchdruckerei, Hamburg, später Alster-Verlag Curt Brauns, Inhaber Curt Brauns, Wedel",,83 Bl.,Alster-Verlag
F 00155,19410101,19411231,1941,13.01 Firmen A,"Alsleben, Helene, Neustadt",,5 Bl.,"Alsleben, Helene"
F 00156,19360101,19491231,1936 - 1949,13.01 Firmen A,"""Alsterhaus"" Waren- & Kaufhaus GmbH, Hamburg, vormals eine Zweigniederlassung der Hertie Waren- & Kaufhaus GmbH, Berlin",,18 Bl.,Alsterhaus Waren- & Kaufhaus GmbH
F 00157,19370101,19491231,1937 - 1949,13.01 Firmen A,"Alt, Johannes, Medizinische Fachbuchhandlung, Inhaberin Elisabeth Alt, Frankfurt a. M.",,72 Bl.,"Alt, Johannes"
F 00158,19380101,19391231,1938 - 1939,13.01 Firmen A,"Altenberg, H., Verlagsbuchhandlung, Inhaberin Jadwiga Altenberg, Lemberg (Lwów, Polen)",,4 Bl.,"Altenberg, H."
F 00160,19370101,19791231,1937 - 1979,13.01 Firmen A,"Althen, Hans Wilhelm, Inhaber der Firma Althen & Claussen, Musikalien- & Musikinstrumentenhandlung, Schwerin",,45 Bl.,"Althen, Hans Wilhelm"
F 00161,19400101,19421231,"1937, 1940 - 1942",13.01 Firmen A,"Althoff, Theodor, Inhaber Rudolph Karstadt, AG, Dortmund",,7 Bl.,"Althoff, Theodor Dortmund"
F 00162,19460101,19491231,"1937, 1946 - 1949",13.01 Firmen A,"Althoff, Theodor, Inhaber Rudolph Karstadt, AG, Essen",,6 Bl.,"Althoff, Theodor Essen"
F 00163,19440101,19571231,1944 - 1957,13.01 Firmen A,"Althoff, Theodor, Inhaber Rudolph Karstadt AG, Leipzig",,122 Bl.,"Althoff, Theodor Leipzig"
F 00164,19330101,19411231,1933 - 1941,13.01 Firmen A,"Altmann, Alfred, Inhaber der Firma Altmann & Vorbach, Gablonz",,13 Bl.,"Altmann, Alfred "
F 00165,19370101,19581231,1937 - 1958,13.01 Firmen A,"Altmann, Max, Verlagsbuchhandlung, Leipzig",,24 Bl.,"Altmann, Max"
F 00167,19370101,19491231,1937 - 1949,13.01 Firmen A,"Altona, Carl Nachfolger, Inhaber Otto Börges, Jever",,11 Bl.,"Altona, Carl"
F 00168,19370101,19371231,1937,13.01 Firmen A,"Altrichter, Alois, Buchhandlung, Prag (Tschechien)",,4 Bl.,"Altrichter, Alois"
F 00169,19330101,19491231,1933 - 1949,13.01 Firmen A,"Altvaterhaus, Buch-, Musikalien- & Kunsthandlung, Inhaber Josef Schmidt, Sternberg",,17 Bl.,Altvaterhaus
F 00170,19370101,19501231,1937 - 1950,13.01 Firmen A,"Aluminium-Zentrale GmbH, Abteilung Verlag, Berlin",,45 Bl.,Aluminium-Zentrale
F 00171,19460101,19521231,"1937, 1946 - 1952",13.01 Firmen A,"Alwerdo-Verlag Werner & Co., Inhaber Alfred Werner, Berlin",,14 Bl.,Alwerdo-Verlag
F 00172,19310101,19431231,1931 - 1943,13.01 Firmen A,"Amalthea-Verlag, Inhaber Dr. Heinrich Studer, Wien (Österreich)",,59 Bl.,Amalthea-Verlag
F 00173,19370101,19481231,1937 - 1948,13.01 Firmen A,"Amberger, Anton, Gebrüder Boegl, später Buchhandlung Bruno Boegl, Inhaber Bruno Boegel, Eichstätt",,20 Bl.,"Amberger, Anton"
F 00174,19370101,19381231,"1937 - 1938, 1942 - 1949",13.01 Firmen A,"Amelang'sche Buch- & Kunsthandlung Eggers & Co., Berlin",,71 Bl.,Amelangsche Buch- & Kunsthandlung
F 00175,19370101,19371231,1937,13.01 Firmen A,"Amend & Co., Buchdruckerei & Verlag, Würzburg",Enthält nur: Berichtigungsbogen für den Eintrag im Adressbuch von 1937.,3 Bl.,Amend & Co.
F 00176,19370101,19371231,"1937, 1941",13.01 Firmen A,"Amende & Holan, Inhaber Hans Amende, Ostrau-Witkowitz (heute Ostrava, Tschechien)",,8 Bl.,Amende & Holan
F 00177,19470101,19511231,"1937, 1941, 1947 - 1951",13.01 Firmen A,"Ammersee-Bücherstube, Inhaberin Emma Walther, Herrsching",,7 Bl.,Ammersee-Bücherstube
F 00178,19470101,19491231,"1937, 1947 - 1949",13.01 Firmen A,"Ammon Oscar Nachfolger, Inhaber Fritz Haensel, Einbeck",,5 Bl.,Ammon Oscar
F 00179,19320101,19321231,"1932, 1937",13.01 Firmen A,"Amon, Hans, Buchhandlung im Hochhaus, Wien (Österreich)",,20 Bl.,"Amon, Hans"
F 00180,19310101,19421231,1931 - 1942,13.01 Firmen A,"Amonesta Buchhandlung GmbH, Großantiquariat, Verlag, später Valentin & Co. KG, Wien (Österreich)",,98 Bl.,Amonesta Buchhandlung
F 00181,19320101,19371231,1932 - 1937,13.01 Firmen A,"Amonn, J.F., Buchdruckerei und Verlag, Bozen (Bolzano, Italien)",,37 Bl.,"Amonn, J.F"
F 00182,19370101,19541231,1937 - 1954,13.01 Firmen A,"Amsler & Ruthardt, Kunsthandlung, Kunstverlag, Berlin",,33 Bl. ,Amsler & Ruthardt
F 00183,19370101,19431231,1937 - 1943,13.01 Firmen A,"Amsler, Jean, Musikhaus, Winterthur (Schweiz)",,8 Bl.,"Amsler, Jean"
F 00184,19360101,19521231,1936 - 1952,13.01 Firmen A,"Amthorsche Verlagsbuchhandlung, Leipzig",,28 Bl.,Amthorsche Verlagsbuchhandlung
F 00185,19370101,19391231,1937 - 1939,13.01 Firmen A,"Amthor, Georg, Buchhandlung, Zeitungsvertrieb, Wiesbaden",,8 Bl.,"Amthor, Georg"
F 00186,19370101,19421231,1937 - 1942,13.01 Firmen A,"Amtmann, Otto, Buchdruckerei, Lauenburg",,4 Bl.,"Amtmann, Otto"
F 00187,19380101,19441231,1938 - 1944,13.01 Firmen A,"Amtmann, Hans, Versandbuchhandlung, Würzburg",,5 Bl.,"Amtmann, Hans"
F 00188,19370101,19381231,1937 - 1938,13.01 Firmen A,"Ancienne Librairie Henri Georg, Joannes Desvigne & Cie. Succrs., Lyon (Frankreich)",,3 Bl.,Ancienne Librairie Henri Georg
F 00189,19370101,19391231,"1937 - 1939, 1944 - 1945",13.01 Firmen A,"Ander, Adolf, Verlagsdruckerei, Dresden",,10 Bl.,"Ander, Adolf"
F 00190,19370101,19511231,1937 - 1951,13.01 Firmen A,"Andermann, Wilhelm, Verlag, Inhaber Wilhelm Andermann, Berlin, später (Wien, Österreich)",,34 Bl.,"Andermann, Wilhelm"
F 00191,19370101,19481231,1937 - 1948,13.01 Firmen A,"Anders, Kurt, Buchhandlung, Bremen",,11 Bl.,"Anders, Kurt"
F 00192,19370101,19381231,"1937 - 1938, 1946 - 1953",13.01 Firmen A,"Anders, Max, Buch- & Kunstantiquariat, Steinbach",,21 Bl.,"Anders, Max"
F 00193,19340101,19401231,1934 - 1940,13.01 Firmen A,"Andersen, Viggo, C. Neumanns Eftf., Buchhandlung, Veile (Dänemark)",,15 Bl. ,"Andersen, Viggo"
F 00194,19370101,19381231,1937 - 1938,13.01 Firmen A,"Andersson, E., Musikhandel & Musikförlag, Direktor Elof Andersson, Malmö (Schweden)",,6 Bl.,"Andersson, Elof"
F 00195,19390101,19421231,1939 - 1942,13.01 Firmen A,"Anderssons Bokhandel, Norrköping (Schweden)",,8 Bl. ,Andersson
F 00196,19460101,19491231,"1937, 1946 - 1949",13.01 Firmen A,"André, Carl, Buchhandlung, Celle",,9 Bl.,"André, Carl"
F 00197,19370101,19371231,1937,13.01 Firmen A,"André, Johann, (seither C. A. André), Frankfurt (Main)",,4 Bl.,"André, Johann"
F 00198,19370101,19371231,"1937, 1949",13.01 Firmen A,"André, Hans, Gesellschafter der Firma Johann André, Offenbach (Main)",,4 Bl.,"André, Hans"
F 00199,19340101,19481231,1934 - 1948,13.01 Firmen A,"Andree G.m.b.H., Buch-, Kunst- & Landkartenhandlung, Buchhandlung & Antiquariat, Prag (Hauptgeschäft), Leipzig",,134 Bl.,Andree G.m.b.H.
F 00200,19370101,19481231,1937 - 1948,13.01 Firmen A,"Andreae & Co., Nachfolger Elis. Koch, Duisburg",,51 Bl.,Andreae & Co.
F 00201,19310101,19431231,1931 - 1943,13.01 Firmen A,"Andreas, Oskar, Verlag, Inhaber Oskar Andreas, Wien-Hadersdorf (Österreich)",,19 Bl.,"Andreas, Oskar1"
F 00202,19370101,19391231,1937 - 1939,13.01 Firmen A,"Andreas, Oskar, Verlag, Wien-Weidlingau (Österreich)",,3 Bl.,"Andreas, Oskar2"
F 00203,19370101,19421231,1937 - 1942,13.01 Firmen A,"Andrés, Paul, OHG, Inhaber Paul Andrés, Köln",,10 Bl.,"Andrés, Paul"
F 00204,19370101,19371231,1937,13.01 Firmen A,"Andresen, Peter N., Buch-, Papier- & Kunsthandlung, Buchbinderei, Apenrade (Aabenraa, Dänemark)",Enthält nur: Berichtigungsbogen für den Eintrag im Adressbuch.,7 Bl.,"Andresen, Peter N."
F 00205,19370101,19531231,1937 - 1953,13.01 Firmen A,"Angelsachsen-Verlag GmbH, Bremen (Hauptgeschäft), München, Berlin (Zweiggeschäfte)",,21 Bl.,Angelsachsen-Verlag
F 00206,19350101,19501231,1935 - 1950,13.01 Firmen A,"Angelsport-Verlag Paul Rauser, Inhaber Paul Rauser, Berlin",,32 Bl.,Angelsport-Verlag
F 00207,19360101,19481231,1936 - 1948,13.01 Firmen A,"Anger-Verlag, Inhaber Adolf H. Anger, vormals Volksdienst-Verlag Adolf Anger Leipzig",,47 Bl.,Anger-Verlag
F 00208,19370101,19501231,"1937, 1940, 1947 - 1950",13.01 Firmen A,"Angerer, Albert, Verlags- & Sortimentsbuchhandlung, Waldsassen",,10 Bl.,"Angerer, Albert"
F 00209,19370101,19481231,1937 - 1948,13.01 Firmen A,"Angermann, Hanns, Buchhandlung, Inhaberin Anni Angermann, Wiesbaden",,13 Bl.,"Angermann, Hanns "
F 00210,19450101,19481231,"1937, 1940, 1945 - 1948",13.01 Firmen A,"Angermeier, Hans, Buchhandlung & Antiquariat, Magdeburg",,13 Bl.,"Angermeier, Hans"
F 00211,19370101,19401231,"1937 - 1940, 1947 - 1949",13.01 Firmen A,"Angler-Buchhandlung Alfred Schüler, Süderbrarup",,11 Bl.,Angler-Buchhandlung
F 00212,19370101,19391231,1937 - 1939,13.01 Firmen A,"Annen, Hans, Buch- , Kunst- und Musikalienhandlung, Warnsdorf",,5 Bl.,"Annen, Hans"
F 00214,19370101,19561231,1937 - 1956,13.01 Firmen A,"Antäus-Verlag GmbH, Inhaber Claus Wessel, Lübeck",,45 Bl.,Antäus-Verlag
F 00215,19370101,19541231,1937 - 1954,13.01 Firmen A,"Anthonys Erben, Inhaber Adolf Dahlfeld, später Sozietäts-Druckerei GmbH, Barth",,44 Bl.,Anthonys Erben
F 00216,19370101,19431231,1937 - 1943,13.01 Firmen A,"Antica Libreria Reber, Palermo (Italien)",,13 Bl.,Antica Libreria Reber
F 00217,19370101,19381231,1937 - 1938,13.01 Firmen A,"Antiqua-Verlag Hermann Kalkoff, Inhaber Hermann Kalkoff, Berlin",,14 Bl.,Antiqua-Verlag
F 00218,19350101,19441231,1935 - 1944,13.01 Firmen A,"Antiquariaat W. Junk, später Antiquariaat Junk (Dr. R. Schierenberg), Haag (später Lochem, Niederlande)",,66 Bl.,Antiquariaat W. Junk
F 00219,19270101,19271231,"1927, 1933 - 1945",13.01 Firmen A,"Antiquariat ""Baltika"", Inhaber Harry Martinson, Dorpat (Tartu, Estland)",,54 Bl.,Antiquariat Baltika
F 00220,19370101,19701231,"1937 - 1949, 1958, 1967, 1970",13.01 Firmen A,"Antiquariat Carl Köhler, Leipzig",,26 Bl.,Antiquariat Carl Köhler
F 00221,19370101,19481231,1937 - 1948,13.01 Firmen A,"Antiquariat Nitsche, Inhaber Cornils Nitsche, Braunschweig",,12 Bl.,Antiquariat Nitsche
F 00222,19370101,19521231,1937 - 1952,13.01 Firmen A,"Antiquariat Agnes Straub G.m.b.H., Berlin",,33 Bl.,Antiquariat Agnes Straub
F 00223,19370101,19511231,1937 - 1951,13.01 Firmen A,"Antiquariat Georg Bäsold, vormals Antiquariats-Buchhandlung, Inhaber Georg Bäsold, Görlitz",,29 Bl.,Antiquariat Georg Bäsold
F 00224,19370101,19381231,1937 - 1938,13.01 Firmen A,"Antiquarium Bibliographicum Wolfgang Keiper, Berlin",,7 Bl.,Antiquarium Bibliographicum
F 00225,19370101,19561231,1937 - 1956,13.01 Firmen A,"Anton, A. & Co., Verlagsbuchhandlung, Leipzig",,21 Bl.,"Anton, A."
F 00226,19370101,19411231,"1937 - 1941, 1967",13.01 Firmen A,"Anzengruber-Verlag Brüder Suschitzky, Wien (Österreich)","Enthält u. a.: ""Streichung aus dem Adressbuch des Deutschen Buchhandels als nichtarisches Unternehmen""",7 Bl.,Anzengruber-Verlag
F 00227,19370101,19391231,"1937 - 1939, 1946 - 1948",13.01 Firmen A,"Antonius-Verlag & Druckerei, Breslau",,15 Bl.,Antonius-Verlag
F 00228,19370101,19431231,"1937 - 1943, 1946, 1950",13.01 Firmen A,"Apitz, H., Druckerei & Verlagsbuchhandlung G.m.b.H., später H. Apitz Verlagsbuchhandlung KG, Berlin",,29 Bl.,"Apitz, H. G.m.b.H."
F 00229,19370101,19411231,1937 - 1941,13.01 Firmen A,"Apollo-Verlag K. Homuth, später Karl Homuth, Berlin",,9 Bl.,Apollo-Verlag Karl Homuth
F 00230,19370101,19721231,"1937 - 1951, 1970 - 1972 (1988)",13.01 Firmen A,"Apollo-Verlag, Inhaber Paul Lincke, später Apollo-Verlag Paul Lincke, Berlin","Enthält auch: Brief des VEB Deutscher Verlag für Musik; Leipzig, an das Staatsarchiv Leipzig, mit dem Hinweise zu Beständen des Apollo-Verlages im Betrieb, 29. Apr. 1988.",43 Bl.,Apollo-Verlag Paul Lincke
F 00231,19360101,19461231,1936 - 1946,13.01 Firmen A,"Apollonia-Verlag Klaus Fürst, später Apollonia-Verlag Georg & Ferdinand Schreiber, München",,43 Bl.,Apollonia-Verlag
F 00232,19360101,19441231,"1936 - 1944, 1948 - 1949",13.01 Firmen A,"Appel, Hermann, Verlag, München, später Verlag Junge Gemeinde Erwin Schwinghammer, Stuttgart ",,78 Bl.,"Appel, Hermann"
F 00233,19370101,19421231,"1937 - 1942, 1947, 1950",13.01 Firmen A,"Appelhans, E., & Co. Verlags GmbH, Braunschweig",,20 Bl.,"Appelhans, E."
F 00234,19330101,19361231,1933 - 1936,13.01 Firmen A,"Appenhagen, Erich, Inhaber der Firma Enrique Appenhagen, Foto-Central, Santa Cruz de Tenerife (Kanarische Inseln)",,26 Bl.,"Appenhagen, Erich"
F 00235,19370101,19411231,1937 - 1941,13.01 Firmen A,"Appun´s Buch- & Musikalienhandlung A. Neudecker, Bunzlau",,29 Bl.,Appun
F 00236,19370101,19401231,1937 - 1940,13.01 Firmen A,"Appun´s Buchhandlung, Felix, Inhaber Rudolf Zeidler, Crossen (Oder)",,18 Bl.,"Appun, Felix"
F 00237,19360101,19401231,1936 - 1940,13.01 Firmen A,"Arbeiterbuchhandlung, später Buchhandlung Stauffacher, Zürich (Schweiz) ",,34 Bl.,Arbeiterbuchhandlung Zürich
F 00238,19370101,19411231,1937 - 1941,13.01 Firmen A,"Arbeiter-Zentralbuchhandlung, Verlagsgeschäft & Antiquariat (Ant. Svecený), später Arbeiter Buchhandlung, Verlag & Antiquariat Anton Svecený, Prag (Tschechien)",,9 Bl.,Arbeiter-Zentralbuchhandlung Prag
F 00239,19370101,19381231,1937 - 1938,13.01 Firmen A,"Arbeitsausschuß Deutscher Verbände, Geschäftsführer Dr. Hans Draeger, Berlin",,12 Bl.,Arbeitsausschuß Deutscher Verbände
F 00240,19370101,19491231,"1937 - 1944, 1946 - 1949",13.01 Firmen A,"Arbeitsgemeinschaft für Zeitgeschichte, Verlags- & Vertriebs-GmbH, später Reindl-Verlag GmbH, München",,30 Bl.,Arbeitsgemeinschaft für Zeitgeschichte
F 00241,19370101,19441231,1937 - 1944,13.01 Firmen A,"Arcadia Verlag G.m.b.H., Berlin, später Bad Kissingen",,16 Bl.,Arcadia Verlag
F 00242,19370101,19431231,"1937, 1942 - 1943",13.01 Firmen A,"""Architektura"", Buchhandlung & Verlag, Budapest (Ungarn)",,10 Bl.,Architektura
F 00243,19370101,19381231,1937 - 1938,13.01 Firmen A,"Architectural Book Publishing Co. Inc., Präsident Paul Wenzel, New York (USA)",,13 Bl. ,Architectural Book Publishing
F 00244,19370101,19371231,1937,13.01 Firmen A,"Archiv-Gesellschaft für kirchliche & caritative Monographien der Bistümer mbH, Berlin",Enthält nur: Hinweise auf das Erlöschen der Firma.,3 Bl.,Archiv-Gesellschaft für kirchliche & caritative Monographien
F 00245,19330101,19441231,1933 - 1944,13.01 Firmen A,"Arct, M., Zaklady Wydawnicze (Verlagsbuchhandlung) AG, Warschau (Polen)",,47 Bl.,"Arct, M."
F 00246,19380101,19381231,"1938, 1941",13.01 Firmen A,"Aretz, Paul, G.m.b.H., Berlin",Enthält u. a.: Hinweis auf Arisierung der Firma.,5 Bl.,"Aretz, Paul"
F 00247,19370101,19491231,"1937 - 1938, 1947 - 1949",13.01 Firmen A,"Argleb, Fritz, Buchhandlung, Castrop-Rauxel",,15 Bl.,"Argleb, Fritz"
F 00248,19370101,19501231,"1937, 1943 - 1950",13.01 Firmen A,"Arhelger & Petzhold, Buch- & Lehrmittelhandlung, Inhaber Rudolf Arheger und Rudolf Petzhold, Wuppertal",,41 Bl.,"Arheger, Rudolf"
F 00249,19460101,19471231,"1937, 1940, 1946 - 1947",13.01 Firmen A,"Arier-Verlag G.m.b.H., später Arier-Verlag Zschaetzsch KG, Berlin",,10 Bl. ,Arier-Verlag
F 00250,19370101,19531231,"1937 - 1944, 1952 - 1953",13.01 Firmen A,"Armanen-Verlag Erich Herbst, Leipzig, Frankurt (am Main)",,13 Bl.,Armanen-Verlag
F 00251,19360101,19401231,1936 - 1940,13.01 Firmen A,"Arminius-Verlag Heinz Wolfensteller Nachfolger, Berlin, vormals Arminius-Verlag Heinz Wolfensteller, Leipzig",,16 Bl.,Arminius-Verlag
F 00252,19370101,19521231,1937 - 1952,13.01 Firmen A,"Arnd, J. J., Verlag, Leipzig",,86 Bl.,"Arnd, J. J."
F 00253,19370101,19401231,1937 - 1940,13.01 Firmen A,"Arndt, Hermann, Buchhandlung & Antiquariat, Bielefeld",,9 Bl.,"Arndt, Hermann"
F 00254,19370101,19511231,"1937, 1940, 1946 - 1951",13.01 Firmen A,"Arndt, Kurt, Buch- & Kunsthandlung, Halle (Saale)",,27 Bl. ,"Arndt, Kurt"
F 00255,19370101,19421231,1937 - 1942,13.01 Firmen A,"Arndt´s Buchhandlung & Antiquariat, Mara, Königsberg",,18 Bl. ,"Arndt, Mara"
F 00256,19370101,19491231,"1937 - 1944, 1948 - 1949",13.01 Firmen A,"Arndt-Buchhandlung O. Melchers & Co., Bremen",,12 Bl.,Arndt-Buchhandlung
F 00257,19370101,19371231,"1937, 1946",13.01 Firmen A,"Arndt-Verlag Melchers & Boettcher, Bremen",,4 Bl. ,Arndt-Verlag
F 00258,19370101,19481231,"1937 - 1938, 1948",13.01 Firmen A,"Arneth, Georg, Buchhandlung, Schweinfurt",,7 Bl.,"Arneth, Georg"
F 00259,19370101,19491231,"1937, 1944, 1949",13.01 Firmen A,"Arnholdt, Kurt, Verlag, Stuttgart",,5 Bl.,"Arnholdt, Kurt"
F 00260,19370101,19431231,1937 - 1943,13.01 Firmen A,"Arnim, Dr. Herbert von, Verlag GmbH, Berlin",,29 Bl.,"Arnim, Dr. Herbert von"
